date,branch_id,product_id,quantity_sold,selling_price,cost_price,current_stock,month,festival_flag
2025-10-12,B04,P113,63,667,599,508,10,1
2025-01-04,B46,P103,51,759,511,592,1,0
2025-04-03,B08,P112,27,354,299,182,4,0
2025-05-13,B04,P112,46,123,108,569,5,0
2025-07-02,B50,P106,49,267,208,652,7,0
2025-01-19,B31,P117,79,145,115,722,1,0
2025-07-26,B28,P111,13,487,354,105,7,0
2025-05-17,B44,P118,61,129,87,125,5,0
2025-04-15,B10,P117,43,961,758,420,4,0
2025-09-02,B13,P108,55,77,68,683,9,0
2025-11-26,B12,P116,57,879,682,300,11,1
2025-02-26,B05,P116,47,71,60,849,2,0
2025-05-07,B28,P102,57,942,651,969,5,0
2025-08-22,B41,P111,63,741,621,948,8,0
2025-02-13,B49,P120,27,527,358,553,2,0
2025-08-08,B42,P103,56,147,134,545,8,0
2025-01-18,B36,P107,31,64,43,978,1,0
2025-11-30,B45,P114,92,857,721,137,11,1
2025-12-20,B37,P120,148,672,610,797,12,1
2025-11-19,B40,P113,129,398,339,373,11,1
2025-10-28,B49,P106,79,1044,747,346,10,1
2025-12-03,B34,P109,124,854,760,559,12,1
2025-03-05,B50,P111,156,446,362,848,3,1
2025-10-20,B20,P116,65,1132,799,460,10,1
2025-03-09,B27,P114,55,247,217,492,3,1
2025-01-31,B14,P110,30,300,226,766,1,0
2025-09-05,B14,P107,61,370,311,783,9,0
2025-10-09,B30,P117,73,791,620,180,10,1
2025-10-21,B08,P111,56,724,515,388,10,1
2025-11-18,B30,P115,72,147,112,229,11,1
2025-04-30,B16,P102,73,102,88,365,4,0
2025-08-20,B38,P113,12,969,714,543,8,0
2025-07-11,B42,P101,21,551,444,306,7,0
2025-04-17,B48,P107,52,232,202,378,4,0
2025-06-30,B09,P113,78,844,689,238,6,0
2025-01-02,B16,P119,46,74,66,757,1,0
2025-05-20,B31,P116,38,511,441,205,5,0
2025-10-23,B13,P112,132,420,312,107,10,1
2025-09-26,B30,P116,28,184,135,137,9,0
2025-02-12,B21,P111,64,502,416,197,2,0
2025-06-12,B50,P109,62,71,57,372,6,0
2025-04-30,B20,P117,58,1058,767,551,4,0
2025-10-20,B31,P116,51,403,303,706,10,1
2025-11-22,B15,P103,90,474,323,637,11,1
2025-03-05,B23,P115,125,114,91,385,3,1
2025-09-22,B06,P109,59,591,416,459,9,0
2025-01-19,B21,P119,70,81,68,218,1,0
2025-09-23,B01,P113,12,141,104,139,9,0
2025-12-30,B31,P114,52,1011,715,222,12,1
2025-03-06,B04,P112,108,702,513,758,3,1
2025-09-17,B44,P101,60,547,482,468,9,0
2025-08-24,B23,P119,69,633,507,131,8,0
2025-07-17,B01,P101,75,140,112,496,7,0
2025-03-07,B44,P118,129,1085,773,981,3,1
2025-12-16,B22,P117,30,527,450,1000,12,1
2025-04-25,B37,P112,41,552,432,860,4,0
2025-04-11,B38,P107,16,463,418,954,4,0
2025-12-25,B23,P110,54,714,518,750,12,1
2025-11-11,B23,P102,22,841,572,188,11,1
2025-05-27,B28,P103,22,481,359,873,5,0
2025-08-12,B39,P112,11,655,522,573,8,0
2025-12-26,B18,P118,18,892,675,288,12,1
2025-04-26,B42,P119,62,600,401,270,4,0
2025-04-27,B22,P115,44,775,691,804,4,0
2025-06-01,B03,P108,50,252,214,587,6,0
2025-03-09,B11,P120,38,255,226,295,3,1
2025-04-09,B28,P105,69,475,355,735,4,0
2025-06-19,B25,P109,57,734,656,450,6,0
2025-01-11,B20,P103,18,928,763,258,1,0
2025-07-19,B26,P106,63,1031,732,458,7,0
2025-04-27,B32,P115,35,31,28,703,4,0
2025-05-24,B14,P107,23,485,329,158,5,0
2025-06-12,B09,P103,63,109,84,598,6,0
2025-12-17,B43,P115,64,912,745,706,12,1
2025-01-04,B18,P117,34,1046,733,246,1,0
2025-09-03,B05,P105,29,426,365,211,9,0
2025-06-08,B30,P104,26,570,513,698,6,0
2025-06-14,B42,P118,74,676,518,987,6,0
2025-07-03,B15,P104,48,50,40,944,7,0
2025-04-08,B36,P116,28,71,65,105,4,0
2025-10-29,B32,P110,81,300,261,155,10,1
2025-04-24,B09,P120,29,793,664,405,4,0
2025-12-30,B41,P107,127,694,612,942,12,1
2025-06-23,B09,P113,72,801,682,631,6,0
2025-03-03,B15,P111,121,521,399,692,3,1
2025-07-04,B11,P112,33,607,546,443,7,0
2025-11-24,B20,P120,67,888,773,883,11,1
2025-12-31,B05,P104,21,621,475,963,12,1
2025-06-13,B46,P117,17,513,345,461,6,0
2025-12-19,B10,P105,138,851,605,583,12,1
2025-08-04,B34,P113,45,777,569,468,8,0
2025-08-11,B47,P101,47,36,33,519,8,0
2025-09-29,B31,P107,65,69,58,321,9,0
2025-12-19,B41,P111,94,710,591,952,12,1
2025-04-11,B13,P117,16,547,474,892,4,0
2025-11-28,B30,P104,38,425,327,639,11,1
2025-02-13,B17,P114,66,833,604,516,2,0
2025-06-24,B33,P102,25,328,250,409,6,0
2025-09-21,B24,P112,78,312,262,139,9,0
2025-10-23,B11,P102,93,519,458,963,10,1
2025-12-22,B03,P101,60,828,670,977,12,1
2025-02-08,B07,P115,28,264,216,930,2,0
2025-06-07,B22,P105,68,988,786,752,6,0
2025-09-11,B47,P101,26,108,89,228,9,0
2025-01-15,B48,P110,44,920,705,753,1,0
2025-09-28,B09,P105,27,546,411,232,9,0
2025-03-23,B46,P117,54,555,378,301,3,1
2025-08-23,B10,P119,72,262,198,516,8,0
2025-08-04,B20,P110,11,262,195,526,8,0
2025-03-25,B08,P119,169,432,344,175,3,1
2025-04-29,B05,P118,43,729,617,688,4,0
2025-01-15,B13,P116,71,99,84,956,1,0
2025-02-12,B19,P116,28,169,120,331,2,0
2025-05-07,B05,P111,24,663,458,556,5,0
2025-04-24,B28,P104,21,769,551,476,4,0
2025-05-06,B25,P112,64,195,150,398,5,0
2025-08-16,B08,P104,14,1126,780,202,8,0
2025-02-14,B23,P102,58,157,111,541,2,0
2025-08-15,B32,P115,61,906,695,587,8,0
2025-06-13,B45,P111,42,287,251,888,6,0
2025-04-26,B30,P105,77,300,244,370,4,0
2025-03-17,B15,P108,78,789,697,297,3,1
2025-04-02,B40,P114,61,581,457,598,4,0
2025-10-11,B41,P112,147,84,71,264,10,1
2025-12-09,B25,P107,123,567,440,753,12,1
2025-03-22,B29,P119,31,420,289,985,3,1
2025-04-08,B37,P106,75,1094,780,644,4,0
2025-04-08,B03,P104,70,247,201,122,4,0
2025-04-10,B40,P114,24,869,771,877,4,0
2025-12-30,B13,P117,26,907,610,937,12,1
2025-07-30,B05,P120,72,785,680,911,7,0
2025-05-26,B18,P110,20,1017,755,859,5,0
2025-04-03,B13,P110,64,671,494,454,4,0
2025-02-09,B29,P119,65,365,257,872,2,0
2025-04-20,B07,P114,13,131,110,774,4,0
2025-11-03,B35,P116,61,55,41,312,11,1
2025-10-19,B31,P114,131,783,684,931,10,1
2025-02-05,B15,P112,36,388,291,911,2,0
2025-07-21,B48,P107,18,1135,780,551,7,0
2025-04-06,B45,P104,41,181,154,799,4,0
2025-08-04,B29,P109,60,427,330,295,8,0
2025-04-03,B31,P104,28,303,251,148,4,0
2025-11-20,B29,P119,161,749,642,641,11,1
2025-03-27,B19,P114,169,48,41,819,3,1
2025-11-04,B06,P117,67,932,724,331,11,1
2025-08-08,B32,P114,61,109,77,704,8,0
2025-12-28,B01,P115,35,527,435,600,12,1
2025-07-28,B23,P109,47,424,363,849,7,0
2025-05-02,B39,P106,69,954,714,380,5,0
2025-09-01,B07,P115,60,88,73,270,9,0
2025-05-09,B08,P117,16,898,752,663,5,0
2025-12-08,B06,P111,170,108,95,917,12,1
2025-07-28,B40,P101,40,985,695,563,7,0
2025-06-24,B50,P115,43,539,461,495,6,0
2025-11-13,B27,P102,108,81,73,303,11,1
2025-12-20,B17,P108,24,330,242,924,12,1
2025-12-18,B22,P107,45,788,673,805,12,1
2025-12-27,B10,P117,107,217,150,381,12,1
2025-02-07,B32,P108,28,774,532,973,2,0
2025-04-27,B40,P106,47,879,600,449,4,0
2025-07-10,B35,P112,16,97,73,672,7,0
2025-03-14,B45,P114,139,72,52,854,3,1
2025-05-14,B11,P117,25,405,310,187,5,0
2025-09-02,B24,P114,42,843,710,684,9,0
2025-10-30,B41,P119,146,104,90,392,10,1
2025-02-14,B28,P106,12,220,147,872,2,0
2025-05-02,B42,P115,20,62,55,578,5,0
2025-01-03,B09,P103,27,590,412,292,1,0
2025-01-31,B21,P117,60,251,172,572,1,0
2025-11-13,B38,P108,69,94,65,385,11,1
2025-08-26,B29,P102,38,373,335,441,8,0
2025-12-03,B42,P109,32,140,94,685,12,1
2025-07-31,B38,P112,54,764,689,918,7,0
2025-05-03,B20,P108,70,687,525,611,5,0
2025-08-27,B17,P111,26,1044,784,573,8,0
2025-01-22,B39,P104,17,130,110,392,1,0
2025-07-16,B23,P114,15,242,184,975,7,0
2025-02-19,B07,P112,62,852,600,249,2,0
2025-09-04,B48,P109,70,703,575,787,9,0
2025-03-22,B48,P101,108,533,378,337,3,1
2025-03-21,B15,P102,21,295,227,501,3,1
2025-09-12,B22,P108,68,691,482,325,9,0
2025-07-04,B34,P113,41,849,573,767,7,0
2025-08-14,B07,P113,31,976,760,273,8,0
2025-05-24,B45,P111,62,1128,761,715,5,0
2025-03-15,B01,P101,47,398,329,936,3,1
2025-08-13,B12,P109,63,722,531,791,8,0
2025-07-13,B27,P113,74,259,230,355,7,0
2025-09-12,B02,P120,14,475,424,204,9,0
2025-11-30,B36,P113,189,483,376,294,11,1
2025-07-23,B39,P116,38,496,405,913,7,0
2025-09-12,B02,P113,15,155,113,704,9,0
2025-10-24,B23,P103,144,88,75,288,10,1
2025-02-18,B13,P110,79,45,35,547,2,0
2025-05-20,B15,P119,71,480,433,999,5,0
2025-02-12,B46,P114,33,368,290,423,2,0
2025-08-10,B07,P104,33,233,196,374,8,0
2025-08-21,B04,P102,78,1082,764,198,8,0
2025-07-17,B20,P104,10,173,150,403,7,0
2025-06-05,B04,P113,40,1147,790,605,6,0
2025-01-02,B27,P107,80,444,374,570,1,0
2025-09-02,B36,P104,58,892,638,560,9,0
2025-11-22,B02,P104,122,175,122,832,11,1
2025-07-13,B18,P110,23,864,653,973,7,0
2025-12-10,B14,P117,106,184,142,913,12,1
2025-12-15,B38,P102,107,71,57,232,12,1
2025-07-23,B26,P109,29,560,498,597,7,0
2025-08-27,B43,P118,31,991,676,402,8,0
2025-12-01,B08,P108,114,641,474,510,12,1
2025-05-09,B16,P109,17,1061,757,940,5,0
2025-04-22,B10,P102,70,379,291,356,4,0
2025-06-08,B40,P108,72,255,194,493,6,0
2025-10-21,B22,P120,102,78,59,186,10,1
2025-07-03,B12,P103,53,727,620,939,7,0
2025-01-26,B04,P118,32,1003,693,530,1,0
2025-12-28,B10,P120,176,576,499,474,12,1
2025-04-29,B12,P105,42,852,672,327,4,0
2025-08-10,B29,P116,14,99,76,464,8,0
2025-10-17,B41,P116,68,484,378,677,10,1
2025-02-20,B49,P118,50,472,359,554,2,0
2025-04-15,B12,P102,46,593,491,185,4,0
2025-07-26,B02,P108,50,485,351,759,7,0
2025-07-25,B22,P111,80,957,779,476,7,0
2025-04-14,B32,P115,40,228,175,184,4,0
2025-11-09,B50,P114,81,279,252,415,11,1
2025-01-01,B50,P101,51,848,621,855,1,0
2025-12-14,B13,P101,53,578,459,550,12,1
2025-07-18,B34,P119,27,683,469,1000,7,0
2025-04-06,B14,P101,35,445,400,411,4,0
2025-10-24,B21,P103,119,635,427,747,10,1
2025-10-23,B27,P106,119,267,225,178,10,1
2025-07-30,B18,P102,54,892,687,585,7,0
2025-10-15,B44,P103,119,358,293,432,10,1
2025-11-04,B50,P117,39,942,637,694,11,1
2025-08-21,B27,P114,41,77,55,590,8,0
2025-01-18,B10,P111,17,999,719,241,1,0
2025-07-15,B23,P119,36,970,653,618,7,0
2025-01-29,B30,P107,24,451,364,262,1,0
2025-05-06,B16,P105,45,579,491,567,5,0
2025-05-27,B01,P110,78,909,793,815,5,0
2025-12-23,B05,P107,24,1020,787,321,12,1
2025-12-13,B47,P111,122,535,454,212,12,1
2025-08-02,B18,P113,29,46,33,591,8,0
2025-07-19,B08,P105,19,820,683,230,7,0
2025-07-15,B26,P114,77,577,428,132,7,0
2025-03-16,B06,P112,66,899,615,383,3,1
2025-03-22,B08,P117,123,686,495,551,3,1
2025-09-23,B11,P113,32,479,372,703,9,0
2025-10-31,B25,P114,32,882,779,466,10,1
2025-07-19,B24,P116,17,161,138,889,7,0
2025-08-09,B31,P101,25,323,249,733,8,0
2025-07-15,B20,P115,80,72,51,459,7,0
2025-06-19,B48,P114,20,128,115,913,6,0
2025-03-01,B49,P109,49,515,394,372,3,1
2025-09-03,B06,P105,17,250,199,957,9,0
2025-09-23,B47,P116,70,258,233,319,9,0
2025-03-01,B40,P105,113,976,712,636,3,1
2025-05-07,B49,P110,61,843,640,943,5,0
2025-01-30,B16,P114,56,201,149,248,1,0
2025-02-23,B47,P113,75,954,700,841,2,0
2025-04-14,B50,P111,32,743,517,129,4,0
2025-04-27,B32,P119,31,27,21,308,4,0
2025-12-12,B49,P104,57,113,100,808,12,1
2025-02-10,B35,P119,10,689,535,858,2,0
2025-04-14,B12,P116,54,312,220,972,4,0
2025-09-27,B43,P119,55,847,740,995,9,0
2025-12-10,B38,P101,45,585,493,311,12,1
2025-02-07,B17,P112,35,793,531,691,2,0
2025-03-27,B20,P111,122,57,52,402,3,1
2025-11-29,B30,P105,148,678,465,663,11,1
2025-12-16,B28,P115,101,667,593,995,12,1
2025-02-02,B05,P109,62,203,145,836,2,0
2025-10-29,B14,P118,56,155,139,637,10,1
2025-01-28,B49,P111,16,898,790,257,1,0
2025-12-03,B33,P101,129,479,349,858,12,1
2025-10-08,B15,P109,39,1120,796,554,10,1
2025-06-10,B25,P106,26,610,420,928,6,0
2025-07-24,B09,P120,52,898,797,247,7,0
2025-08-26,B12,P107,20,327,236,724,8,0
2025-08-13,B16,P107,76,419,326,551,8,0
2025-10-28,B09,P101,35,509,418,431,10,1
2025-07-22,B26,P117,43,55,37,931,7,0
2025-03-04,B15,P120,122,536,469,223,3,1
2025-01-18,B17,P110,10,1018,780,634,1,0
2025-03-15,B07,P111,122,783,567,573,3,1
2025-06-24,B20,P107,53,30,21,460,6,0
2025-04-09,B02,P109,74,524,424,440,4,0
2025-03-08,B44,P120,81,425,302,453,3,1
2025-05-27,B05,P114,69,51,41,789,5,0
2025-10-12,B05,P103,73,703,516,112,10,1
2025-09-03,B27,P120,44,102,91,794,9,0
2025-07-31,B35,P112,70,128,88,831,7,0
2025-04-20,B20,P113,64,842,626,482,4,0
2025-03-29,B24,P116,54,248,210,846,3,1
2025-07-21,B31,P116,72,120,87,443,7,0
2025-07-20,B11,P115,20,850,594,247,7,0
2025-07-18,B42,P113,70,419,320,451,7,0
2025-04-21,B36,P104,45,195,159,105,4,0
2025-03-09,B35,P116,28,207,144,373,3,1
2025-05-25,B49,P103,30,523,368,384,5,0
2025-03-19,B30,P115,127,340,230,195,3,1
2025-06-24,B09,P104,39,361,319,725,6,0
2025-05-08,B29,P101,48,466,336,608,5,0
2025-01-26,B39,P119,58,257,217,705,1,0
2025-10-31,B09,P106,76,477,415,146,10,1
2025-09-22,B42,P111,19,966,675,245,9,0
2025-05-30,B43,P105,25,898,741,556,5,0
2025-03-03,B21,P105,61,780,706,159,3,1
2025-11-07,B05,P112,134,565,501,474,11,1
2025-09-06,B05,P102,32,49,42,559,9,0
2025-08-30,B01,P118,73,562,432,429,8,0
2025-06-01,B23,P114,68,52,36,428,6,0
2025-11-28,B26,P119,150,1004,735,431,11,1
2025-10-24,B41,P120,159,354,243,180,10,1
2025-05-08,B48,P111,73,1071,727,696,5,0
2025-06-14,B34,P112,78,279,203,860,6,0
2025-10-04,B26,P112,75,757,660,630,10,1
2025-05-10,B23,P116,31,249,225,795,5,0
2025-07-06,B18,P104,56,480,379,683,7,0
2025-05-21,B19,P102,79,168,125,332,5,0
2025-06-17,B02,P110,33,257,218,966,6,0
2025-05-08,B01,P120,77,193,150,292,5,0
2025-12-04,B19,P105,135,955,798,346,12,1
2025-12-16,B47,P119,191,105,71,980,12,1
2025-01-02,B35,P120,59,165,127,521,1,0
2025-07-19,B18,P103,34,861,660,260,7,0
2025-04-02,B11,P106,67,216,192,248,4,0
2025-09-19,B04,P117,29,581,501,149,9,0
2025-01-10,B48,P117,45,879,664,738,1,0
2025-04-07,B20,P115,71,1076,730,759,4,0
2025-06-01,B22,P106,71,800,605,665,6,0
2025-12-22,B44,P111,168,619,490,948,12,1
2025-02-26,B50,P114,35,1096,748,889,2,0
2025-10-26,B31,P119,19,374,292,114,10,1
2025-12-11,B32,P119,24,885,799,617,12,1
2025-08-20,B50,P108,11,399,326,539,8,0
2025-12-13,B22,P115,120,102,74,848,12,1
2025-07-15,B50,P115,64,456,354,277,7,0
2025-06-08,B20,P109,70,844,742,749,6,0
2025-02-07,B38,P106,61,120,90,699,2,0
2025-02-10,B24,P113,24,765,571,398,2,0
2025-05-14,B25,P116,47,619,449,713,5,0
2025-09-06,B31,P113,38,121,102,643,9,0
2025-10-17,B41,P116,43,240,208,105,10,1
2025-11-15,B22,P104,138,768,594,489,11,1
2025-10-03,B07,P113,91,365,306,151,10,1
2025-02-07,B48,P102,42,469,378,807,2,0
2025-02-24,B14,P102,72,212,146,573,2,0
2025-01-13,B35,P102,32,675,557,302,1,0
2025-12-02,B38,P118,99,638,518,812,12,1
2025-02-20,B27,P118,32,315,244,120,2,0
2025-05-24,B50,P106,49,648,511,770,5,0
2025-08-04,B03,P110,37,873,781,726,8,0
2025-03-09,B04,P118,79,208,152,682,3,1
2025-11-30,B41,P110,52,288,235,919,11,1
2025-10-29,B01,P104,56,1056,713,610,10,1
2025-06-11,B41,P112,29,166,111,685,6,0
2025-11-24,B10,P113,131,812,723,220,11,1
2025-03-30,B29,P109,194,84,73,498,3,1
2025-05-31,B25,P113,40,659,490,328,5,0
2025-08-18,B44,P106,19,80,70,637,8,0
2025-07-06,B26,P113,34,329,243,707,7,0
2025-07-02,B43,P106,22,549,459,623,7,0
2025-04-30,B02,P110,28,560,449,297,4,0
2025-01-19,B10,P117,55,409,279,206,1,0
2025-01-27,B41,P114,25,934,647,586,1,0
2025-03-23,B37,P102,110,379,297,186,3,1
2025-10-13,B46,P118,24,157,141,356,10,1
2025-10-30,B20,P108,107,1042,701,377,10,1
2025-05-17,B25,P120,52,1180,791,101,5,0
2025-07-10,B02,P112,19,403,300,736,7,0
2025-12-05,B37,P116,96,532,359,155,12,1
2025-08-04,B36,P117,28,909,618,246,8,0
2025-10-09,B30,P113,142,861,665,367,10,1
2025-09-22,B10,P107,59,669,570,179,9,0
2025-12-04,B20,P114,44,627,448,852,12,1
2025-04-04,B45,P120,39,672,568,577,4,0
2025-12-10,B01,P111,24,1151,768,227,12,1
2025-07-16,B26,P111,38,254,209,488,7,0
2025-06-11,B47,P117,13,912,649,284,6,0
2025-09-08,B24,P102,36,392,263,305,9,0
2025-04-15,B24,P112,18,857,581,994,4,0
2025-07-23,B27,P115,69,350,278,293,7,0
2025-04-12,B47,P107,24,495,368,994,4,0
2025-12-08,B41,P110,170,187,140,201,12,1
2025-05-04,B17,P117,80,604,468,600,5,0
2025-04-23,B18,P108,31,433,331,207,4,0
2025-08-03,B24,P108,60,427,311,424,8,0
2025-02-12,B42,P107,76,344,284,605,2,0
2025-02-07,B02,P104,57,167,137,255,2,0
2025-11-27,B50,P103,108,912,647,680,11,1
2025-01-18,B05,P109,20,745,558,848,1,0
2025-06-03,B32,P108,54,436,350,361,6,0
2025-04-02,B40,P111,53,274,199,608,4,0
2025-05-27,B37,P106,80,520,389,881,5,0
2025-09-03,B49,P113,26,962,786,378,9,0
2025-04-05,B15,P107,25,726,585,390,4,0
2025-04-07,B36,P107,62,697,545,645,4,0
2025-06-28,B05,P104,24,238,163,552,6,0
2025-09-25,B01,P119,50,651,579,854,9,0
2025-09-21,B13,P107,38,774,686,354,9,0
2025-09-13,B18,P114,10,144,104,744,9,0
2025-04-22,B20,P114,25,330,265,159,4,0
2025-07-01,B02,P117,41,839,747,487,7,0
2025-12-04,B08,P115,156,32,26,596,12,1
2025-10-13,B41,P114,16,581,425,282,10,1
2025-12-19,B39,P103,91,666,452,718,12,1
2025-10-19,B16,P105,68,179,135,354,10,1
2025-07-12,B08,P106,23,302,205,768,7,0
2025-10-25,B44,P103,110,785,582,485,10,1
2025-09-09,B05,P111,50,274,222,135,9,0
2025-10-14,B10,P119,37,797,689,676,10,1
2025-07-13,B48,P108,71,1003,747,254,7,0
2025-04-02,B44,P105,76,431,362,865,4,0
2025-01-26,B11,P111,37,218,146,561,1,0
2025-01-09,B33,P112,62,571,473,535,1,0
2025-09-30,B34,P114,52,77,58,925,9,0
2025-08-16,B23,P119,25,736,507,886,8,0
2025-07-08,B15,P108,14,236,173,468,7,0
2025-05-23,B42,P113,60,380,263,843,5,0
2025-08-17,B18,P120,30,651,494,847,8,0
2025-10-11,B33,P115,78,367,256,771,10,1
2025-04-17,B46,P111,56,564,406,762,4,0
2025-05-19,B05,P120,57,390,328,383,5,0
2025-03-16,B11,P117,97,1136,761,614,3,1
2025-03-01,B15,P109,160,163,133,797,3,1
2025-02-05,B18,P102,24,31,24,581,2,0
2025-01-06,B39,P110,74,434,312,230,1,0
2025-11-03,B04,P106,173,362,317,951,11,1
2025-02-10,B38,P111,63,168,120,935,2,0
2025-04-07,B44,P101,35,611,432,828,4,0
2025-11-28,B06,P107,57,361,243,261,11,1
2025-01-15,B42,P111,26,334,293,569,1,0
2025-01-20,B09,P109,26,1095,751,578,1,0
2025-08-04,B39,P120,68,141,116,494,8,0
2025-12-07,B22,P110,125,621,450,246,12,1
2025-06-28,B38,P112,44,335,278,929,6,0
2025-08-26,B41,P102,32,1009,703,721,8,0
2025-05-30,B45,P109,15,362,324,335,5,0
2025-02-26,B14,P104,11,801,632,845,2,0
2025-01-12,B10,P115,12,857,727,569,1,0
2025-01-28,B12,P118,48,628,480,206,1,0
2025-06-19,B11,P102,73,557,400,355,6,0
2025-11-10,B12,P102,96,258,185,636,11,1
2025-05-20,B25,P103,54,643,507,922,5,0
2025-02-01,B06,P112,34,454,325,570,2,0
2025-03-06,B12,P102,144,545,453,240,3,1
2025-12-07,B08,P114,148,535,385,574,12,1
2025-04-01,B13,P105,17,341,260,193,4,0
2025-08-07,B08,P106,57,314,246,748,8,0
2025-11-11,B22,P117,132,48,40,341,11,1
2025-02-25,B14,P104,55,452,305,890,2,0
2025-03-10,B12,P110,100,198,136,515,3,1
2025-03-28,B01,P118,159,1043,769,570,3,1
2025-09-04,B35,P103,10,603,446,232,9,0
2025-05-04,B17,P113,57,420,295,373,5,0
2025-09-11,B38,P116,39,886,745,917,9,0
2025-08-25,B10,P104,48,435,311,480,8,0
2025-02-13,B19,P117,10,569,487,192,2,0
2025-08-26,B43,P116,22,486,442,385,8,0
2025-01-27,B46,P101,70,80,72,523,1,0
2025-03-11,B50,P111,41,648,523,327,3,1
2025-10-17,B49,P119,39,136,104,463,10,1
2025-01-03,B15,P102,51,771,609,651,1,0
2025-11-29,B38,P118,63,335,287,787,11,1
2025-10-02,B15,P108,108,689,521,147,10,1
2025-06-03,B26,P116,21,25,22,664,6,0
2025-01-29,B27,P115,35,656,563,431,1,0
2025-07-16,B46,P110,28,750,562,563,7,0
2025-09-21,B45,P112,63,400,312,816,9,0
2025-09-12,B03,P102,50,123,107,336,9,0
2025-05-23,B41,P119,28,554,406,674,5,0
2025-06-28,B24,P120,25,177,126,399,6,0
2025-10-24,B41,P109,35,268,213,615,10,1
2025-03-15,B20,P111,15,531,444,779,3,1
2025-08-16,B50,P104,62,800,596,168,8,0
2025-08-06,B40,P111,31,675,516,959,8,0
2025-06-30,B14,P115,24,140,108,531,6,0
2025-07-26,B30,P113,61,437,379,571,7,0
2025-08-23,B42,P120,79,468,404,794,8,0
2025-08-12,B47,P104,59,700,501,550,8,0
2025-07-11,B23,P111,38,611,439,441,7,0
2025-03-17,B39,P113,65,946,769,190,3,1
2025-11-21,B35,P118,34,180,146,955,11,1
2025-06-15,B12,P114,36,956,698,135,6,0
